location,count,latitude,longitude
East Nusa Tenggara,9,-8.5,117.0
"East Bogor, West Java",9,-6.9175,107.6191
"Bras Basah, Central Region",9,1.3521,103.8198
"Kelapa Dua, Banten",9,-6.12,106.1503
West Sumatra,9,-0.5,104.0
"Kepala Batas, Penang",9,5.4141,100.3288
"Lumut, Perak",9,4.5975,101.0901
"Jenjarom, Selangor",9,3.075,101.525
"Gianyar Regency, Bali",9,-8.3405,115.092
"Kampung Malaysia Raya, Kuala Lumpur",9,4.2105,101.9758
"Kuala Lumpur International Airport, Selangor",9,3.075,101.525
"Klang District, Selangor",9,3.075,101.525
"Tebing Tinggi, North Sumatra",9,-0.5,104.0
"Batuceper, Banten",9,-6.12,106.1503
"Tanjung Malim, Perak",9,4.5975,101.0901
"Sarolangun, Jambi",9,-0.5,104.0
"Telok Blangah, Central Region",9,1.3521,103.8198
"Upper Paya Lebar, North-East Region",9,1.3521,103.8198
"Binjai, North Sumatra",9,-0.5,104.0
"Morowali, Sulawesi Tengah",9,-3.0,120.0
"Cimanggis, West Java",9,-6.9175,107.6191
"Palopo, South Sulawesi",9,-3.0,120.0
"Tebrau, Johor",9,1.4927,103.7414
"Kuala Nerus, Terengganu",9,5.3303,103.1408
"Jitra, Kedah",8,6.12,100.37
"Ponorogo, East Java",8,-7.5361,112.2384
"Cisauk, Banten",8,-6.12,106.1503
"Genteng, East Java",8,-7.5361,112.2384
"Tampines East, East Region",8,1.3521,103.8198
"Siglap, East Region",8,1.3521,103.8198
"Bangli, Bali",8,-8.3405,115.092
"Curug Bitung, Banten",8,-6.12,106.1503
"Taman Universiti, Johor",8,1.4927,103.7414
"Permas Jaya, Johor",8,1.4927,103.7414
"Somerset, Central Region",8,1.3521,103.8198
"Samarinda, Kalimantan Timur",8,-1.0,115.0
"Pagedangan, Banten",8,-6.12,106.1503
"Pancoran, Jakarta",8,-6.2088,106.8456
"Lubuk Linggau, South Sumatra",8,-0.5,104.0
"North Lombok, West Nusa Tenggara",8,-8.5,117.0
"Labuhanbatu, North Sumatra",8,-0.5,104.0
"Ngoro, East Java",8,-7.5361,112.2384
"Karak, Pahang",8,3.8,103.0833
"Purbalingga, Central Java",8,-7.15,110.1403
"West Sumbawa, West Nusa Tenggara",8,-8.5,117.0
"Yishun Central, North Region",8,1.3521,103.8198
"Tanjung Langsat, Johor",8,1.4927,103.7414
"Bayan Baru, Penang",8,5.4141,100.3288
"Mak Mandin, Penang",8,5.4141,100.3288
"Tanjung Pinang, Riau Islands",8,1.0,104.0
"Kota Samarahan, Sarawak",8,1.55,110.3333
"Menteng, Jakarta",8,-6.2088,106.8456
"Tanjung Tokong, Penang",8,5.4141,100.3288
"Changi Point, East Region",8,1.3521,103.8198
"Kebumen, Central Java",8,-7.15,110.1403
"Kuningan, West Java",8,-6.9175,107.6191
"Newton, Central Region",8,1.3521,103.8198
"Banda Aceh, Aceh",8,-0.5,104.0
"Pengerang, Johor",8,1.4927,103.7414
"Timika, Central Papua",8,-4.0,137.0
"Purwakarta Regency, West Java",8,-6.9175,107.6191
"Benoi Sector, West Region",8,1.3521,103.8198
"Gebeng, Pahang",8,3.8,103.0833
"Ayer Itam, Penang",8,5.4141,100.3288
Overseas (from Hong Kong),7,,
"Pamekasan, East Java",7,-7.5361,112.2384
"Pasuruan, Jawa Timur",7,-7.5361,112.2384
"Rancaekek, West Java",7,-6.9175,107.6191
"Benda, Banten",7,-6.12,106.1503
"Ciputat, Banten",7,-6.12,106.1503
"Situbondo, East Java",7,-7.5361,112.2384
"Colomadu, Central Java",7,-7.15,110.1403
"Cikarang Barat, Jawa Barat",7,-6.9175,107.6191
"Setiu, Terengganu",7,5.3303,103.1408
"Bintulu Division, Sarawak",7,1.55,110.3333
"Serdang, Selangor",7,3.075,101.525
"Bandar Kinrara, Selangor",7,3.075,101.525
"Batu Licin, South Kalimantan",7,-1.0,115.0
"Batu Arang, Selangor",7,3.075,101.525
"Kalianda, Lampung",7,-0.5,104.0
"Pandaan, East Java",7,-7.5361,112.2384
"Demak Regency, Central Java",7,-7.15,110.1403
"Jurong Gateway, West Region",7,1.3521,103.8198
"Depot Road, Central Region",7,1.3521,103.8198
"Bandar Botanic, Selangor",7,3.075,101.525
"Bengkalis, Riau",7,,
"West Medan, North Sumatra",7,-0.5,104.0
"Brickfields, Kuala Lumpur",7,3.139,101.6869
"Jatiasih, West Java",7,-6.9175,107.6191
"Bitung, North Sulawesi",7,-3.0,120.0
"Central Lampung, Lampung",7,-0.5,104.0
"Serang Regency, Banten",7,-6.12,106.1503
North Sulawesi,7,-3.0,120.0
Sumatera Selatan,7,-0.5,104.0
"Pusat Bandar Damansara, Kuala Lumpur",7,3.139,101.6869
"Pematangsiantar, North Sumatra",7,-0.5,104.0
"Yio Chu Kang, North-East Region",7,1.3521,103.8198
"North Serpong, Banten",7,-6.12,106.1503
"Pusat Bandar Puchong, Selangor",7,3.075,101.525
"Tagore, North-East Region",7,1.3521,103.8198
"Muadzam Shah, Pahang",7,3.8,103.0833
"Hougang East, North-East Region",7,1.3521,103.8198
"Batu Gajah, Perak",7,4.5975,101.0901
"Kota Marudu, Sabah",7,5.9788,116.0753
"Seelong, Johor",7,1.4927,103.7414
"Tanjung Bungah, Penang",7,5.4141,100.3288
"Defu Industrial Park, North-East Region",7,1.3521,103.8198
"Mengwi, Bali",7,-8.3405,115.092
"Woodlands Regional Centre, North Region",7,1.3521,103.8198
"Upper Thomson, Central Region",7,1.3521,103.8198
"People's Park, Central Region",7,1.3521,103.8198
"Taman Desa, Kuala Lumpur",7,3.139,101.6869
"Bawen, Central Java",7,-7.15,110.1403
"Paloh, West Kalimantan",7,-1.0,115.0
"Others, East Region",7,1.3521,103.8198
"Ngawi, East Java",7,-7.5361,112.2384
"Umbulharjo, Yogyakarta Special Region",7,-8.5,117.0
"Wonogiri, Central Java",7,-7.15,110.1403
"North Bogor, West Java",7,-6.9175,107.6191
"Banguntapan, Yogyakarta Special Region",7,-8.5,117.0
"Malim Jaya, Melaka",7,2.1896,102.2501
"Medan Deli, North Sumatra",7,-0.5,104.0
"Semporna, Sabah",7,5.9788,116.0753
"Putra Heights, Selangor",7,3.075,101.525
"Kajang/Bangi/Serdang, Selangor",7,3.075,101.525
"Wangsa Maju, Kuala Lumpur",7,3.139,101.6869
"Forest City, Johor",7,1.4927,103.7414
"Sungai Bakap, Penang",7,5.4141,100.3288
"Sungei Kadut, North Region",7,1.3521,103.8198
Nusa Tenggara Barat,7,-8.5,117.0
"Bukit Batok Central, West Region",6,1.3521,103.8198
"Crawford, Central Region",6,1.3521,103.8198
"Pandan Indah, Selangor",6,3.075,101.525
"Kebayoran Baru, Jakarta",6,-6.2088,106.8456
"Nabire, Central Papua",6,-4.0,137.0
"Tawau District, Sabah",6,5.9788,116.0753
"Temerloh, Pahang",6,3.8,103.0833
"Mountbatten, Central Region",6,1.3521,103.8198
"Lunas, Kedah",6,6.12,100.37
"South Purwokerto, Central Java",6,-7.15,110.1403
"Ulu Choh, Johor",6,1.4927,103.7414
"Indramayu Regency, West Java",6,-6.9175,107.6191
"Jasin, Melaka",6,2.1896,102.2501
"Sauk, Perak",6,4.5975,101.0901
"Jetis, Yogyakarta Special Region",6,-8.5,117.0
"Paser, East Kalimantan",6,-1.0,115.0
"Metro, Lampung",6,-0.5,104.0
"Cengkareng, Jakarta Raya",6,-6.2088,106.8456
"Taman Desa Cemerlang, Johor",6,1.4927,103.7414
Kalimantan Selatan,6,-1.0,115.0
"Tanjung Pelepas, Johor",6,1.4927,103.7414
"Batu Berendam, Melaka",6,2.1896,102.2501
"Mlati, Yogyakarta Special Region",6,-8.5,117.0
"Pusing, Perak",6,4.5975,101.0901
"Kendal, Jawa Tengah",6,-7.15,110.1403
"Sri Hartamas, Kuala Lumpur",6,3.139,101.6869
"Merlimau, Melaka",6,2.1896,102.2501
"Pandamaran, Selangor",6,3.075,101.525
"Barito Kuala, South Kalimantan",6,-1.0,115.0
"Donggongon, Sabah",6,5.9788,116.0753
"Batang Regency, Central Java",6,-7.15,110.1403
"Sandakan District, Sabah",6,5.9788,116.0753
"North Bekasi, West Java",6,-6.9175,107.6191
"Sidenreng Rappang, South Sulawesi",6,-3.0,120.0
"Pesawaran, Lampung",6,-0.5,104.0
"Jelapang, Perak",6,4.5975,101.0901
"Bandar Baru Nilai, Negeri Sembilan",6,2.725,101.9375
"Banjar, West Java",6,-6.9175,107.6191
"Bandar Baru Klang, Selangor",6,3.075,101.525
"Suko Manunggal, East Java",6,-7.5361,112.2384
"Kabupaten Bekasi, Jawa Barat",6,-6.9175,107.6191
"Musi Banyuasin, South Sumatra",6,-0.5,104.0
"Central Water Catchment, North Region",6,1.3521,103.8198
"Lawang, East Java",6,-7.5361,112.2384
"Serangoon Central, North-East Region",6,1.3521,103.8198
"Jagebob, South Papua",6,-4.0,137.0
"Manokwari, West Papua",6,-4.0,137.0
"Kallang Way, Central Region",6,1.3521,103.8198
"Kubu Raya, West Kalimantan",6,-1.0,115.0
"Kemayoran, Jakarta Raya",6,-6.2088,106.8456
"Madiun, Jawa Timur",6,-7.5361,112.2384
"Jepara, Central Java",6,-7.15,110.1403
"Sumbawa Barat, Nusa Tenggara Barat",6,-8.5,117.0
"Bone, South Sulawesi",6,-3.0,120.0
"Pandeglang, Banten",6,-6.12,106.1503
"Berbah, Yogyakarta Special Region",6,-8.5,117.0
"Purwosari, East Java",6,-7.5361,112.2384
"Tuas Bay, West Region",6,1.3521,103.8198
"Mojokerto Regency, East Java",6,-7.5361,112.2384
"Gunung Putri, Jawa Barat",6,-6.9175,107.6191
"Ciamis, West Java",6,-6.9175,107.6191
"Prabumulih, South Sumatra",6,-0.5,104.0
"Jatisampurna, West Java",6,-6.9175,107.6191
"Cempaka Putih, Jakarta",6,-6.2088,106.8456
"Setiawangsa, Kuala Lumpur",6,3.139,101.6869
"Rembang, Central Java",6,-7.15,110.1403
"Sawah Besar, Jakarta",6,-6.2088,106.8456
"East Karawang, West Java",6,-6.9175,107.6191
"Merauke, Papua Selatan",6,-4.0,137.0
"Komodo, East Nusa Tenggara",6,-8.5,117.0
"Clementi Central, West Region",5,1.3521,103.8198
"Others, Central Region",5,1.3521,103.8198
"Kerteh, Terengganu",5,5.3303,103.1408
"Kemasik, Terengganu",5,5.3303,103.1408
"Sunway Iskandar, Johor",5,1.4927,103.7414
"Taman Connaught, Kuala Lumpur",5,3.139,101.6869
"Pudu, Kuala Lumpur",5,3.139,101.6869
"Padang Serai, Kedah",5,6.12,100.37
"Beranang, Selangor",5,3.075,101.525
"Serian Division, Sarawak",5,1.55,110.3333
"Taman Melawati, Selangor",5,3.075,101.525
"Bukit Baru, Melaka",5,2.1896,102.2501
Jawa Tengah,5,-7.15,110.1403
"Gali Batu, North Region",5,1.3521,103.8198
"Gopeng, Perak",5,4.5975,101.0901
"Batu Maung, Penang",5,5.4141,100.3288
"Pinang, Banten",5,-6.12,106.1503
"Tuaran, Sabah",5,5.9788,116.0753
"Pontianak, Kalimantan Barat",5,-1.0,115.0
"Bandar Mahkota Cheras, Selangor",5,3.075,101.525
"Fort Canning, Central Region",5,1.3521,103.8198
"Midview, North Region",5,1.3521,103.8198
"Ranau, Sabah",5,5.9788,116.0753
"Rokan Hulu, Riau",5,,
"Larkin, Johor",5,1.4927,103.7414
"Asahan, North Sumatra",5,-0.5,104.0
"Manjung District, Perak",5,4.5975,101.0901
"Desa Parkcity, Kuala Lumpur",5,3.139,101.6869
"Batang Kali, Selangor",5,3.075,101.525
"Kuching Division, Sarawak",5,1.55,110.3333
"Taman Molek, Johor",5,1.4927,103.7414
"Kampar, Perak",5,4.5975,101.0901
"Ciledug, Banten",5,-6.12,106.1503
"Kota Tinggi, Johor",5,1.4927,103.7414
"Dengkil, Selangor",5,3.075,101.525
"Pademangan, Jakarta",5,-6.2088,106.8456
"Kulai District, Johor",5,1.4927,103.7414
"Pengkalan Chepa, Kelantan",5,6.1236,102.2431
"East Kutai, East Kalimantan",5,-1.0,115.0
"i-City, Selangor",5,3.075,101.525
North Kalimantan,5,-1.0,115.0
"Mojokerto, Jawa Timur",5,-7.5361,112.2384
"Banjarnegara Regency, Central Java",5,-7.15,110.1403
"Krubong, Melaka",5,2.1896,102.2501
"South Arut, Central Kalimantan",5,-1.0,115.0
Sumatera Barat,5,-0.5,104.0
"Sungai Lalang, Kedah",5,6.12,100.37
"Banjarnegara, Central Java",5,-7.15,110.1403
"Lebak, Banten",5,-6.12,106.1503
"Muara Enim, South Sumatra",5,-0.5,104.0
"Kota Belud, Sabah",5,5.9788,116.0753
"North Morowali, Central Sulawesi",5,-3.0,120.0
"Duren Sawit, Jakarta",5,-6.2088,106.8456
"Langkat, North Sumatra",5,-0.5,104.0
"Bangkalan, East Java",5,-7.5361,112.2384
"West Lombok, West Nusa Tenggara",5,-8.5,117.0
"Batu Pahat District, Johor",5,1.4927,103.7414
"Bandar Bukit Tinggi, Selangor",5,3.075,101.525
"Purwodadi, Central Java",5,-7.15,110.1403
"Gorontalo City, Gorontalo",5,0.7186,122.4475
"Elmina, Selangor",5,3.075,101.525
"Siantar, North Sumatra",5,-0.5,104.0
"Margomulyo, East Java",5,-7.5361,112.2384
"Bukit Rambai, Melaka",5,2.1896,102.2501
"Margahayu, West Java",5,-6.9175,107.6191
"Wonosobo, Central Java",5,-7.15,110.1403
"Boon Lay Place, West Region",5,1.3521,103.8198
West Nusa Tenggara,5,-8.5,117.0
"Mampang Prapatan, Jakarta",5,-6.2088,106.8456
"Karimun, Riau Islands",5,1.0,104.0
Central Sulawesi,5,-3.0,120.0
"Tegal, Jawa Tengah",5,-7.15,110.1403
"Bachok, Kelantan",5,6.1236,102.2431
Sulawesi Selatan,5,-3.0,120.0
"Payangan, Bali",5,-8.3405,115.092
"East Balikpapan, East Kalimantan",5,-8.3405,115.092
"Pesanggrahan, Jakarta",5,-6.2088,106.8456
"Nusa Penida, Bali",5,-8.3405,115.092
"Gunungpati, Central Java",5,-7.15,110.1403
"Toa Payoh West, Central Region",5,1.3521,103.8198
"Tuas View, West Region",5,1.3521,103.8198
"Belitung Regency, Bangka Belitung",5,-2.1333,106.1333
"Loyang East, East Region",5,1.3521,103.8198
"Paya Lebar East, East Region",5,1.3521,103.8198
"Pioneer Sector, West Region",5,1.3521,103.8198
"Maduran, East Java",5,-7.5361,112.2384
"Pomalaa, Southeast Sulawesi",5,-3.0,120.0
"Tanjung Priok, Jakarta",5,-6.2088,106.8456
"Sintang, West Kalimantan",5,-1.0,115.0
"Bukit Batok East, West Region",5,1.3521,103.8198
"Majalaya, West Java",5,-6.9175,107.6191
"Cirebon, Jawa Barat",5,-6.9175,107.6191
"Pahandut, Central Kalimantan",5,-1.0,115.0
"Medan Helvetia, North Sumatra",5,-0.5,104.0
"Kartasura, Central Java",5,-7.15,110.1403
"Tuban Regency, East Java",5,-7.5361,112.2384
"Kalideres, Jakarta Raya",5,-6.2088,106.8456
"Gempol, East Java",5,-7.5361,112.2384
"Pulau Tikus, Penang",4,5.4141,100.3288
"Pontianak Town, West Kalimantan",4,-1.0,115.0
"North Konawe, Southeast Sulawesi",4,-3.0,120.0
"Plentong, Johor",4,1.4927,103.7414
"Kimanis, Sabah",4,5.9788,116.0753
"Pal Merah, Jakarta",4,-6.2088,106.8456
"Ogan Komering Ilir, South Sumatra",4,-0.5,104.0
"Rangkasbitung, Banten",4,-6.12,106.1503
"Mandailing Natal, North Sumatra",4,-0.5,104.0
"Kepong Baru, Kuala Lumpur",4,3.139,101.6869
"Sukabumi Regency, West Java",4,-6.9175,107.6191
"Tembagapura, Central Papua",4,-4.0,137.0
"Kabupaten Bandung, Jawa Barat",4,-6.9175,107.6191
"Beji, East Java",4,-7.5361,112.2384
"Others, Penang",4,5.4141,100.3288
"Jonggol, West Java",4,-6.9175,107.6191
"Bandung Barat, Jawa Barat",4,-6.9175,107.6191
"Ciseeng, West Java",4,-6.9175,107.6191
"Woodleigh, Central Region",4,1.3521,103.8198
"Mandai West, North Region",4,1.3521,103.8198
"Bayfront Subzone, Central Region",4,1.3521,103.8198
"Senoko South, North Region",4,1.3521,103.8198
"Bukit Batok West, West Region",4,1.3521,103.8198
"Mandai Estate, North Region",4,1.3521,103.8198
"Luwu, Sulawesi Selatan",4,-3.0,120.0
"Cakung, Jakarta Raya",4,-6.2088,106.8456
"Singapore General Hospital, Central Region",4,1.3521,103.8198
"Others, West Region",4,1.3521,103.8198
"Parigi Moutong, Central Sulawesi",4,-3.0,120.0
"Bau Bau, Southeast Sulawesi",4,-3.0,120.0
"Sungai Jawi, Penang",4,5.4141,100.3288
"Kinarut, Sabah",4,5.9788,116.0753
"Ngaglik, Yogyakarta Special Region",4,-8.5,117.0
"Kota Masai, Johor",4,1.4927,103.7414
"North Balikpapan, East Kalimantan",4,-8.3405,115.092
"Ngajum, East Java",4,-7.5361,112.2384
"Cicendo, West Java",4,-6.9175,107.6191
"Sungai Long, Selangor",4,3.075,101.525
"Bandar Menjalara, Kuala Lumpur",4,3.139,101.6869
"Sawangan, West Java",4,-6.9175,107.6191
"Prigen, East Java",4,-7.5361,112.2384
"Magetan, East Java",4,-7.5361,112.2384
"Wonokromo, East Java",4,-7.5361,112.2384
"Pakuhaji, Banten",4,-6.12,106.1503
"Taman Johor Jaya, Johor",4,1.4927,103.7414
"Papar, Sabah",4,5.9788,116.0753
"Subang Bestari, Selangor",4,3.075,101.525
"Kendal Regency, Central Java",4,-7.15,110.1403
"Kota Kinabalu District, Sabah",4,5.9788,116.0753
"Singkawang, West Kalimantan",4,-1.0,115.0
"Taman Wahyu, Kuala Lumpur",4,3.139,101.6869
"Tuas View Extension, West Region",4,1.3521,103.8198
"Setia Tropika, Johor",4,1.4927,103.7414
"South Lampung, Lampung",4,-0.5,104.0
"Banyuwangi Regency, East Java",4,-7.5361,112.2384
"Bentong, Pahang",4,3.8,103.0833
"Kudus Kota, Central Java",4,-7.15,110.1403
DI Yogyakarta,4,-8.5,117.0
"Tanjung Morawa, North Sumatra",4,-0.5,104.0
"Sumenep, East Java",4,-7.5361,112.2384
"Cicalengka, West Java",4,-6.9175,107.6191
"Medan Sunggal, North Sumatra",4,-0.5,104.0
"Bandar Dato'Onn, Johor",4,1.4927,103.7414
"Dukuh Pakis, East Java",4,-7.5361,112.2384
"Karangasem, Bali",4,-8.3405,115.092
"Shamelin Perkasa, Kuala Lumpur",4,3.139,101.6869
"Bukittinggi, West Sumatra",4,-0.5,104.0
"Lahad Datu District, Sabah",4,5.9788,116.0753
"Tabalong, South Kalimantan",4,-1.0,115.0
"Parongpong, West Java",4,-6.9175,107.6191
"Bergas, Central Java",4,-7.15,110.1403
"Padang Sidempuan, North Sumatra",4,-0.5,104.0
"Stabat, North Sumatra",4,-0.5,104.0
Papua,4,-4.0,137.0
"Purwakarta, Jawa Barat",4,-6.9175,107.6191
"Taman Putra Perdana, Selangor",4,3.075,101.525
"Bangsar Baru, Kuala Lumpur",4,3.139,101.6869
"Chin Bee, West Region",4,1.3521,103.8198
"Kapuas, Central Kalimantan",4,-1.0,115.0
"Lakeside, West Region",4,1.3521,103.8198
"Cikarang Selatan, Jawa Barat",4,-6.9175,107.6191
"Central Seberang Perai, Penang",4,5.4141,100.3288
"Beaufort, Sabah",4,5.9788,116.0753
"Kabuh, East Java",4,-7.5361,112.2384
"Godean, Yogyakarta Special Region",4,-8.5,117.0
"Bidor, Perak",4,4.5975,101.0901
"Medan Kota, Sumatera Utara",4,-0.5,104.0
"Tampin, Negeri Sembilan",4,2.725,101.9375
"Teluk Sampit, Central Kalimantan",4,-1.0,115.0
"Gombak, Selangor",4,3.075,101.525
"Kluang District, Johor",4,1.4927,103.7414
"Segambut, Kuala Lumpur",4,3.139,101.6869
"Konawe, Southeast Sulawesi",4,-3.0,120.0
"Lombok Tengah, Nusa Tenggara Barat",4,-8.5,117.0
"East Coast, Central Region",4,1.3521,103.8198
"Bukit Beruntung, Selangor",4,3.075,101.525
"Lamongan, Jawa Timur",4,-7.5361,112.2384
Kalimantan Tengah,4,-1.0,115.0
"Sragen Regency, Central Java",3,-7.15,110.1403
"Taman, Jawa Timur",3,-7.5361,112.2384
"Babelan, West Java",3,-6.9175,107.6191
"Menteng, Jakarta Raya",3,-6.2088,106.8456
"Jatiuwung, Banten",3,-6.12,106.1503
"Pringsewu, Lampung",3,-0.5,104.0
"Pekalongan, Jawa Tengah",3,-7.15,110.1403
"Kebayoran Lama, Jakarta Raya",3,-6.2088,106.8456
"Kampar, Riau",3,,
"West Telukjambe, West Java",3,-6.9175,107.6191
"Pekalongan Regency, Central Java",3,-7.15,110.1403
"Petaling Jaya Selatan, Selangor",3,3.075,101.525
"Wiyung, East Java",3,-7.5361,112.2384
"Putatan, Sabah",3,5.9788,116.0753
"Pati, Jawa Tengah",3,-7.15,110.1403
"Sembawang Central, North Region",3,1.3521,103.8198
"Pulau Punggol Barat, North-East Region",3,1.3521,103.8198
"Jurong Port, West Region",3,1.3521,103.8198
"Toh Tuck, West Region",3,1.3521,103.8198
"Sungai Siput, Perak",3,4.5975,101.0901
"Bahau, Negeri Sembilan",3,2.725,101.9375
"Tangkak, Johor",3,1.4927,103.7414
"Pamulang, Banten",3,-6.12,106.1503
"Bandar Rimbayu, Selangor",3,3.075,101.525
"Tulang Bawang, Lampung",3,-0.5,104.0
"Cileungsi, Jawa Barat",3,-6.9175,107.6191
"Nias Regency, North Sumatra",3,-0.5,104.0
"Kerambitan, Bali",3,-8.3405,115.092
"Musi Banyuasin, Sumatera Selatan",3,-0.5,104.0
"Pasir Mas, Kelantan",3,6.1236,102.2431
"Cibitung, Jawa Barat",3,-6.9175,107.6191
"Jatinegara, Jakarta",3,-6.2088,106.8456
"Madiun Regency, East Java",3,-7.5361,112.2384
"Kudat District, Sabah",3,5.9788,116.0753
"Landak, West Kalimantan",3,-1.0,115.0
"Ruteng, East Nusa Tenggara",3,-8.5,117.0
"Bukit Selambau, Kedah",3,6.12,100.37
"Bireuen, Aceh",3,-0.5,104.0
"Muara Wahau, East Kalimantan",3,-1.0,115.0
"Tanah Rata, Pahang",3,3.8,103.0833
"Seputeh, Kuala Lumpur",3,3.139,101.6869
"Kinabatangan, Sabah",3,5.9788,116.0753
"Straits View, Central Region",3,1.3521,103.8198
"Serangoon Garden, North-East Region",3,1.3521,103.8198
"Klojen, East Java",3,-7.5361,112.2384
"Lubuk Linggau, Sumatera Selatan",3,-0.5,104.0
"Taman Midah, Kuala Lumpur",3,3.139,101.6869
"Central Subzone, Central Region",3,1.3521,103.8198
"Lhokseumawe, Aceh",3,-0.5,104.0
"Sibolga, North Sumatra",3,-0.5,104.0
"Bengkulu City, Bengkulu",3,-0.5,104.0
"Kalasan, Yogyakarta Special Region",3,-8.5,117.0
"Banyuasin, South Sumatra",3,-0.5,104.0
"Rungkut, East Java",3,-7.5361,112.2384
"Sambas Regency, West Kalimantan",3,-1.0,115.0
"Labu, Negeri Sembilan",3,2.725,101.9375
"North Cimahi, West Java",3,-6.9175,107.6191
"Cilincing, Jakarta",3,-6.2088,106.8456
"Sanan Wetan, East Java",3,-7.5361,112.2384
"Siak, Riau",3,,
"West Kutai, East Kalimantan",3,-1.0,115.0
"Magelang Regency, Central Java",3,-7.15,110.1403
"Kota Mataram, Nusa Tenggara Barat",3,-8.5,117.0
"Pulau Meranti, Selangor",3,3.075,101.525
"Bandar Tasik Selatan, Kuala Lumpur",3,3.139,101.6869
"Pare-Pare, Sulawesi Selatan",3,-3.0,120.0
"Lumajang, East Java",3,-7.5361,112.2384
Sulawesi Tenggara,3,-3.0,120.0
South Papua,3,-4.0,137.0
"Turi, Yogyakarta Special Region",3,-8.5,117.0
"Bantargebang, West Java",3,-6.9175,107.6191
"Jagakarsa, Jakarta",3,-6.2088,106.8456
"Genting Sempah, Pahang",3,3.8,103.0833
"Jepara, Jawa Tengah",3,-7.15,110.1403
"Pendang, Kedah",3,6.12,100.37
"Simpang Renggam, Johor",3,1.4927,103.7414
"Gambut, South Kalimantan",3,-1.0,115.0
"Batu Ferringhi, Penang",3,5.4141,100.3288
"Lenggeng, Negeri Sembilan",3,2.725,101.9375
"Mojoagung, East Java",3,-7.5361,112.2384
"Mampang Prapatan, Jakarta Raya",3,-6.2088,106.8456
Maluku,3,-3.0,128.0
Kalimantan Barat,3,-1.0,115.0
"Kolaka, Southeast Sulawesi",3,-3.0,120.0
"Bandar Saujana Putra, Selangor",3,3.075,101.525
"Ciracas, Jakarta Raya",3,-6.2088,106.8456
"Bogor Barat, Jawa Barat",3,-6.9175,107.6191
"Cinangka, Banten",3,-6.12,106.1503
"Permatang Tinggi, Penang",3,5.4141,100.3288
"Jombang, Jawa Timur",3,-7.5361,112.2384
"Central Karang, Banten",3,-6.12,106.1503
"Penanti, Penang",3,5.4141,100.3288
"Salatiga, Jawa Tengah",3,-7.15,110.1403
"Tuban, Jawa Timur",3,-7.5361,112.2384
"Prambon, East Java",3,-7.5361,112.2384
"Citeureup, Jawa Barat",3,-6.9175,107.6191
"Kediri, Jawa Timur",3,-7.5361,112.2384
"Nganjuk, Jawa Timur",3,-7.5361,112.2384
"Papar District, Sabah",3,5.9788,116.0753
"Chukai, Terengganu",3,5.3303,103.1408
"Carey Island, Selangor",3,3.075,101.525
"Kintamani, Bali",3,-8.3405,115.092
"Kemaman, Terengganu",3,5.3303,103.1408
"Teluk Intan, Perak",3,4.5975,101.0901
"Central Klaten, Central Java",3,-7.15,110.1403
"Balong Bendo, East Java",3,-7.5361,112.2384
"Bau, Sarawak",3,1.55,110.3333
"Lembah Beringin, Selangor",3,3.075,101.525
Sulawesi Barat,3,-3.0,120.0
"West Ungaran, Central Java",3,-7.15,110.1403
"Kovan, North-East Region",3,1.3521,103.8198
"Seri Manjung, Perak",3,4.5975,101.0901
"Setiabudi, Jakarta Raya",3,-6.2088,106.8456
"Ogan Ilir, South Sumatra",3,-0.5,104.0
"Cikarang Timur, Jawa Barat",3,-6.9175,107.6191
"Senoko North, North Region",3,1.3521,103.8198
"Kotamobagu, North Sulawesi",3,-3.0,120.0
"Ponorogo Regency, East Java",3,-7.5361,112.2384
"Alam Damai, Kuala Lumpur",3,3.139,101.6869
"Sleman, DI Yogyakarta",3,-8.5,117.0
"Mojosari, East Java",3,-7.5361,112.2384
"Kuta Raja, Aceh",3,-0.5,104.0
"Pandan Jaya, Selangor",3,3.075,101.525
"Others, Negeri Sembilan",3,2.725,101.9375
"Menglembu, Perak",3,4.5975,101.0901
"Blitar Regency, East Java",3,-7.5361,112.2384
"Semarang Tengah, Jawa Tengah",3,-7.15,110.1403
"Megamendung, West Java",3,-6.9175,107.6191
"Jementah, Johor",3,1.4927,103.7414
"Paka, Terengganu",3,5.3303,103.1408
"Hulu Selangor, Selangor",3,3.075,101.525
"Others, North-East Region",3,1.3521,103.8198
"Tanjung Karang Pusat, Lampung",3,-0.5,104.0
"North Sangatta, East Kalimantan",3,-1.0,115.0
"Surakarta, Jawa Tengah",3,-7.15,110.1403
"Medan Petisah, North Sumatra",3,-0.5,104.0
"Tanjung Balai, North Sumatra",3,-0.5,104.0
"Luwu, South Sulawesi",3,-3.0,120.0
"Pondokgede, West Java",3,-6.9175,107.6191
"Kutai Kartanegara, East Kalimantan",3,-1.0,115.0
"Anchorvale, North-East Region",3,1.3521,103.8198
"Majalengka, Jawa Barat",3,-6.9175,107.6191
"Cijeruk, West Java",2,-6.9175,107.6191
"Bone, Sulawesi Selatan",2,-3.0,120.0
"Pelalawan, Riau",2,,
"Tukang, West Region",2,1.3521,103.8198
"Bakauheni, Lampung",2,-0.5,104.0
"Lubuk Basung, West Sumatra",2,-0.5,104.0
"Central Bangka, Bangka Belitung",2,-2.1333,106.1333
"Penebel, Bali",2,-8.3405,115.092
